web_domain;url;kategorier;source_url
10-4.dk;https://www.10-4.dk/;Byggemarked & byggevarer (129) | Hus & have (490) | Hvidevarer & VVS (75) | Møbler & boligindretning (386);https://www.emaerket.dk/kategori/webshops/byggemarked-byggevarer/ | https://www.emaerket.dk/kategori/webshops/hus-have/ | https://www.emaerket.dk/kategori/webshops/hvidevarer-vvs/ | https://www.emaerket.dk/kategori/webshops/mobler-boligindretning/
1855cru.dk;https://www.1855cru.dk/;Mad, vin & dagligvarer (86);https://www.emaerket.dk/kategori/webshops/mad-vin-dagligvarer/
24hshop.dk;https://24hshop.dk/;Bil cykel & transport (62) | Byggemarked & byggevarer (129) | Bøger, cd'er, film & brætspil (41) | Dyr & deres pleje (68) | Elektronik tele & foto (169) | Gaveartikler & blomster (122) | Helse & personlig pleje (195) | Hobby, sport & fritid (281) | Hus & have (490) | Kontorartikler m.v. (67) | Kunst (34) | Musik & udstyr (20) | Møbler & boligindretning (386) | Salg til virksomheder (177) | Smykker, ure & accessories (130) | Tøj & sko (188);https://www.emaerket.dk/kategori/webshops/bil-cykel-transport/ | https://www.emaerket.dk/kategori/webshops/boeger-cder-film-braetspil/ | https://www.emaerket.dk/kategori/webshops/byggemarked-byggevarer/ | https://www.emaerket.dk/kategori/webshops/dyr-deres-pleje/ | https://www.emaerket.dk/kategori/webshops/elektronik-tele-foto/ | https://www.emaerket.dk/kategori/webshops/gaveartikler-blomster/ | https://www.emaerket.dk/kategori/webshops/helse-personlig-pleje/ | https://www.emaerket.dk/kategori/webshops/hobby-sport-fritid/ | https://www.emaerket.dk/kategori/webshops/hus-have/ | https://www.emaerket.dk/kategori/webshops/kontorartikler-m-v/ | https://www.emaerket.dk/kategori/webshops/kunst/ | https://www.emaerket.dk/kategori/webshops/mobler-boligindretning/ | https://www.emaerket.dk/kategori/webshops/musik-udstyr/ | https://www.emaerket.dk/kategori/webshops/salg-til-virksomheder/ | https://www.emaerket.dk/kategori/webshops/smykker-ure-accessories/ | https://www.emaerket.dk/kategori/webshops/toej-og-sko/
3dsaga.com;https://www.3dsaga.com/;Elektronik tele & foto (169);https://www.emaerket.dk/kategori/webshops/elektronik-tele-foto/
417.dk;https://417.dk/;Tøj & sko (188);https://www.emaerket.dk/kategori/webshops/toej-og-sko/
a39.dk;https://a39.dk/;Byggemarked & byggevarer (129);https://www.emaerket.dk/kategori/webshops/byggemarked-byggevarer/
a4-etiketter.dk;https://a4-etiketter.dk/;Kontorartikler m.v. (67);https://www.emaerket.dk/kategori/webshops/kontorartikler-m-v/
aabs.dk;https://aabs.dk/;Hus & have (490) | Møbler & boligindretning (386);https://www.emaerket.dk/kategori/webshops/hus-have/ | https://www.emaerket.dk/kategori/webshops/mobler-boligindretning/
abashop.dk;https://abashop.dk/;Hus & have (490) | Møbler & boligindretning (386);https://www.emaerket.dk/kategori/webshops/hus-have/ | https://www.emaerket.dk/kategori/webshops/mobler-boligindretning/
abcleg.dk;https://abcleg.dk/;Babytøj, børnetøj & ting til børn (123);https://www.emaerket.dk/kategori/webshops/babytoj-bornetoj-ting-til-born/
abpettoys.dk;https://abpettoys.dk/;Dyr & deres pleje (68);https://www.emaerket.dk/kategori/webshops/dyr-deres-pleje/
abrask.dk;https://abrask.dk/;Smykker, ure & accessories (130);https://www.emaerket.dk/kategori/webshops/smykker-ure-accessories/
abrideudstyr.dk;https://abrideudstyr.dk/;Hobby, sport & fritid (281);https://www.emaerket.dk/kategori/webshops/hobby-sport-fritid/
absolutkaffe.dk;https://absolutkaffe.dk/;Mad, vin & dagligvarer (86);https://www.emaerket.dk/kategori/webshops/mad-vin-dagligvarer/
actionshoppen.dk;https://actionshoppen.dk/;Hobby, sport & fritid (281);https://www.emaerket.dk/kategori/webshops/hobby-sport-fritid/
adax.dk;https://adax.dk/;Tøj & sko (188);https://www.emaerket.dk/kategori/webshops/toej-og-sko/
adaxshop.com;https://adaxshop.com/;Smykker, ure & accessories (130);https://www.emaerket.dk/kategori/webshops/smykker-ure-accessories/
agroland.dk;https://agroland.dk/;Dyr & deres pleje (68);https://www.emaerket.dk/kategori/webshops/dyr-deres-pleje/
agroled.dk;https://agroled.dk/;Elektronik tele & foto (169);https://www.emaerket.dk/kategori/webshops/elektronik-tele-foto/
aiayu.com;https://aiayu.com/;Tøj & sko (188);https://www.emaerket.dk/kategori/webshops/toej-og-sko/
airgun.dk;https://airgun.dk/;Hobby, sport & fritid (281);https://www.emaerket.dk/kategori/webshops/hobby-sport-fritid/
aiviq.dk;https://aiviq.dk/;Hus & have (490) | Mad, vin & dagligvarer (86);https://www.emaerket.dk/kategori/webshops/hus-have/ | https://www.emaerket.dk/kategori/webshops/mad-vin-dagligvarer/
ajscooters.dk;https://ajscooters.dk/;Hobby, sport & fritid (281);https://www.emaerket.dk/kategori/webshops/hobby-sport-fritid/
aktivguld.com;https://www.aktivguld.com/;Salg til virksomheder (177) | Smykker, ure & accessories (130);https://www.emaerket.dk/kategori/webshops/salg-til-virksomheder/ | https://www.emaerket.dk/kategori/webshops/smykker-ure-accessories/
akustikbilleder.dk;https://akustikbilleder.dk/;Kunst (34) | Møbler & boligindretning (386);https://www.emaerket.dk/kategori/webshops/kunst/ | https://www.emaerket.dk/kategori/webshops/mobler-boligindretning/
akvatur.dk;https://akvatur.dk/;Hvidevarer & VVS (75) | Møbler & boligindretning (386);https://www.emaerket.dk/kategori/webshops/hvidevarer-vvs/ | https://www.emaerket.dk/kategori/webshops/mobler-boligindretning/
akvine.dk;https://akvine.dk/;Mad, vin & dagligvarer (86);https://www.emaerket.dk/kategori/webshops/mad-vin-dagligvarer/
alabazar.dk;https://alabazar.dk/;Elektronik tele & foto (169);https://www.emaerket.dk/kategori/webshops/elektronik-tele-foto/
alarm365.dk;https://alarm365.dk/;Elektronik tele & foto (169);https://www.emaerket.dk/kategori/webshops/elektronik-tele-foto/
allround-musik.dk;https://allround-musik.dk/;Musik & udstyr (20);https://www.emaerket.dk/kategori/webshops/musik-udstyr/
alluneed.dk;https://alluneed.dk/;Babytøj, børnetøj & ting til børn (123) | Dyr & deres pleje (68) | Elektronik tele & foto (169) | Hobby, sport & fritid (281) | Hus & have (490) | Hvidevarer & VVS (75) | Møbler & boligindretning (386);https://www.emaerket.dk/kategori/webshops/babytoj-bornetoj-ting-til-born/ | https://www.emaerket.dk/kategori/webshops/dyr-deres-pleje/ | https://www.emaerket.dk/kategori/webshops/elektronik-tele-foto/ | https://www.emaerket.dk/kategori/webshops/hobby-sport-fritid/ | https://www.emaerket.dk/kategori/webshops/hus-have/ | https://www.emaerket.dk/kategori/webshops/hvidevarer-vvs/ | https://www.emaerket.dk/kategori/webshops/mobler-boligindretning/
alstrom.dk;https://alstrom.dk/;Gaveartikler & blomster (122) | Hobby, sport & fritid (281) | Hus & have (490);https://www.emaerket.dk/kategori/webshops/gaveartikler-blomster/ | https://www.emaerket.dk/kategori/webshops/hobby-sport-fritid/ | https://www.emaerket.dk/kategori/webshops/hus-have/
alttilcamping.dk;https://alttilcamping.dk/;Bil cykel & transport (62) | Ferie & rejse (33) | Hus & have (490) | Møbler & boligindretning (386);https://www.emaerket.dk/kategori/webshops/bil-cykel-transport/ | https://www.emaerket.dk/kategori/webshops/ferie-rejse/ | https://www.emaerket.dk/kategori/webshops/hus-have/ | https://www.emaerket.dk/kategori/webshops/mobler-boligindretning/
amantecopenhagen.dk;https://amantecopenhagen.dk/;Smykker, ure & accessories (130);https://www.emaerket.dk/kategori/webshops/smykker-ure-accessories/
andersen-andersen.com;https://andersen-andersen.com/;Tøj & sko (188);https://www.emaerket.dk/kategori/webshops/toej-og-sko/
andlight.dk;https://andlight.dk/;Hus & have (490) | Kontorartikler m.v. (67) | Møbler & boligindretning (386) | Salg til virksomheder (177);https://www.emaerket.dk/kategori/webshops/hus-have/ | https://www.emaerket.dk/kategori/webshops/kontorartikler-m-v/ | https://www.emaerket.dk/kategori/webshops/mobler-boligindretning/ | https://www.emaerket.dk/kategori/webshops/salg-til-virksomheder/
anewsleep.dk;https://anewsleep.dk/;Hus & have (490);https://www.emaerket.dk/kategori/webshops/hus-have/
ankerdenmark.dk;https://ankerdenmark.dk/;Hus & have (490) | Møbler & boligindretning (386);https://www.emaerket.dk/kategori/webshops/hus-have/ | https://www.emaerket.dk/kategori/webshops/mobler-boligindretning/
ankshop.dk;https://ankshop.dk/;Hus & have (490) | Hvidevarer & VVS (75);https://www.emaerket.dk/kategori/webshops/hus-have/ | https://www.emaerket.dk/kategori/webshops/hvidevarer-vvs/
anyday.io;https://anyday.io/;Salg til virksomheder (177) | Økonomi, banker & forsikringer (6);https://www.emaerket.dk/kategori/webshops/okonomi-banker-forsikringer/ | https://www.emaerket.dk/kategori/webshops/salg-til-virksomheder/
anytimebrovst.dk;https://anytimebrovst.dk/;Smykker, ure & accessories (130);https://www.emaerket.dk/kategori/webshops/smykker-ure-accessories/
anzo.gl;https://anzo.gl/;Smykker, ure & accessories (130);https://www.emaerket.dk/kategori/webshops/smykker-ure-accessories/
aof.dk;https://aof.dk/;Oplevelser & underholdning (21) | Uddannelse & kurser (17);https://www.emaerket.dk/kategori/webshops/oplevelser-underholdning/ | https://www.emaerket.dk/kategori/webshops/uddannelse-kurser/
apopro.dk;https://apopro.dk/;Helse & personlig pleje (195);https://www.emaerket.dk/kategori/webshops/helse-personlig-pleje/
apotekeren.dk;https://apotekeren.dk/;Helse & personlig pleje (195);https://www.emaerket.dk/kategori/webshops/helse-personlig-pleje/
apoteket-online.dk;https://apoteket-online.dk/;Helse & personlig pleje (195);https://www.emaerket.dk/kategori/webshops/helse-personlig-pleje/
apuls.dk;https://apuls.dk/;Hobby, sport & fritid (281) | Tøj & sko (188);https://www.emaerket.dk/kategori/webshops/hobby-sport-fritid/ | https://www.emaerket.dk/kategori/webshops/toej-og-sko/
aquatic.dk;https://aquatic.dk/;Ferie & rejse (33) | Hobby, sport & fritid (281) | Oplevelser & underholdning (21) | Salg til virksomheder (177);https://www.emaerket.dk/kategori/webshops/ferie-rejse/ | https://www.emaerket.dk/kategori/webshops/hobby-sport-fritid/ | https://www.emaerket.dk/kategori/webshops/oplevelser-underholdning/ | https://www.emaerket.dk/kategori/webshops/salg-til-virksomheder/
arkuri.dk;https://arkuri.dk/;Tøj & sko (188);https://www.emaerket.dk/kategori/webshops/toej-og-sko/
as-kcc.dk;https://www.as-kcc.dk/;Babytøj, børnetøj & ting til børn (123) | Ferie & rejse (33) | Gaveartikler & blomster (122) | Hobby, sport & fritid (281) | Hus & have (490) | Møbler & boligindretning (386) | Salg til virksomheder (177);https://www.emaerket.dk/kategori/webshops/babytoj-bornetoj-ting-til-born/ | https://www.emaerket.dk/kategori/webshops/ferie-rejse/ | https://www.emaerket.dk/kategori/webshops/gaveartikler-blomster/ | https://www.emaerket.dk/kategori/webshops/hobby-sport-fritid/ | https://www.emaerket.dk/kategori/webshops/hus-have/ | https://www.emaerket.dk/kategori/webshops/mobler-boligindretning/ | https://www.emaerket.dk/kategori/webshops/salg-til-virksomheder/
ascendic.dk;https://ascendic.dk/;Hobby, sport & fritid (281);https://www.emaerket.dk/kategori/webshops/hobby-sport-fritid/
asetek.com;https://asetek.com/;Elektronik tele & foto (169) | Hobby, sport & fritid (281);https://www.emaerket.dk/kategori/webshops/elektronik-tele-foto/ | https://www.emaerket.dk/kategori/webshops/hobby-sport-fritid/
asleepness.com;https://asleepness.com/;Babytøj, børnetøj & ting til børn (123) | Elektronik tele & foto (169) | Helse & personlig pleje (195) | Hobby, sport & fritid (281) | Musik & udstyr (20);https://www.emaerket.dk/kategori/webshops/babytoj-bornetoj-ting-til-born/ | https://www.emaerket.dk/kategori/webshops/elektronik-tele-foto/ | https://www.emaerket.dk/kategori/webshops/helse-personlig-pleje/ | https://www.emaerket.dk/kategori/webshops/hobby-sport-fritid/ | https://www.emaerket.dk/kategori/webshops/musik-udstyr/
