domain;status;pages_checked;findings;note
24hshop.dk;ok;9;0;"base=https://www.24hshop.dk; sitemap_urls=0; attempts=12"
10-4.dk;ok;30;0;"base=https://www.10-4.dk; sitemap_urls=4000; attempts=32"
3dsaga.com;ok;30;0;"base=https://www.3dsaga.com; sitemap_urls=4000; attempts=32"
a39.dk;ok;30;0;"base=https://a39.dk; sitemap_urls=1562; attempts=35"
absolutkaffe.dk;ok;11;0;"base=https://absolutkaffe.dk; sitemap_urls=0; attempts=16"
aabs.dk;ok;15;0;"base=https://aabs.dk; sitemap_urls=0; attempts=20"
abpettoys.dk;ok;15;0;"base=https://abpettoys.dk; sitemap_urls=0; attempts=20"
417.dk;ok;15;0;"base=https://www.417.dk; sitemap_urls=1500; attempts=20"
abcleg.dk;ok;15;0;"base=https://www.abcleg.dk; sitemap_urls=1500; attempts=20"
aiayu.com;rate_limited;0;0;Forsiden svarede HTTP 429
a4-etiketter.dk;ok;2;0;"base=https://a4-etiketter.dk; sitemap_urls=962; attempts=45"
aiviq.dk;rate_limited;0;0;Forsiden svarede HTTP 429
abashop.dk;ok;8;0;"base=https://abashop.dk; sitemap_urls=1500; attempts=45"
agroland.dk;ok;15;0;"base=https://www.agroland.dk; sitemap_urls=1500; attempts=20"
abrideudstyr.dk;ok;15;0;"base=https://www.abrideudstyr.dk; sitemap_urls=0; attempts=20"
ajscooters.dk;ok;15;0;"base=https://ajscooters.dk; sitemap_urls=612; attempts=18"
akvine.dk;ok;1;0;"base=https://akvine.dk; sitemap_urls=0; attempts=6"
akustikbilleder.dk;ok;15;0;"base=https://akustikbilleder.dk; sitemap_urls=298; attempts=20"
actionshoppen.dk;ok;8;0;"base=https://actionshoppen.dk; sitemap_urls=1500; attempts=45"
aktivguld.com;ok;15;0;"base=https://www.aktivguld.com; sitemap_urls=1500; attempts=20"
adax.dk;ok;4;0;"base=https://adax.dk; sitemap_urls=1500; attempts=45"
1855cru.dk;ok;15;0;"base=https://www.1855cru.dk; sitemap_urls=0; attempts=20"
agroled.dk;ok;15;0;"base=https://www.agroled.dk; sitemap_urls=1500; attempts=20"
amantecopenhagen.dk;rate_limited;0;0;Forsiden svarede HTTP 429
alluneed.dk;ok;1;0;"base=https://alluneed.dk; sitemap_urls=0; attempts=6"
andersen-andersen.com;rate_limited;0;0;Forsiden svarede HTTP 429
alabazar.dk;ok;15;0;"base=https://www.alabazar.dk; sitemap_urls=1284; attempts=17"
andlight.dk;external_redirect;0;0;https://www.andlight.com/dk/
abrask.dk;ok;15;0;"base=https://abrask.dk; sitemap_urls=382; attempts=32"
anewsleep.dk;rate_limited;0;0;Forsiden svarede HTTP 429
alarm365.dk;ok;15;0;"base=https://alarm365.dk; sitemap_urls=164; attempts=14"
airgun.dk;ok;2;0;"base=https://www.airgun.dk; sitemap_urls=1500; attempts=42"
alstrom.dk;ok;2;0;"base=https://alstrom.dk; sitemap_urls=0; attempts=7"
allround-musik.dk;ok;15;0;"base=https://allround-musik.dk; sitemap_urls=0; attempts=20"
anyday.io;ok;15;0;"base=https://www.anyday.io; sitemap_urls=105; attempts=17"
anytimebrovst.dk;ok;15;0;"base=https://anytimebrovst.dk; sitemap_urls=0; attempts=20"
